provider_code,synonyms
B20,"[""bath uni"", ""uni of bath spa"", ""university of bath spa""]"
B25,"[""birmingham city university""]"
B38,"[""university of bishop grosseteste""]"
B84,"[""brunel university"", ""west london institute of he""]"
C10,"[""the university of canterbury christ church"", ""university of canterbury christ church"", ""canterbury university"", ""christ church university"", ""canterbury uni"", ""christ church uni""]"
D86,"[""the university of durham"", ""uni of durham""]"
E42,"[""edge hill college"", ""university of edge hill"", ""the university of edge hill"", ""the uni of edge hill"", ""uni of edge hill""]"
G56,"[""university of goldsmiths"", ""uni of goldsmith"", ""the university of goldsmiths"", ""the uni of goldsmiths"", ""the university of london""]"
K60,"[""kcl university of london"", ""kings college uol"", ""kings university of london"", ""kings college london"", ""KCL""]"
K84,"[""university of kingston"", ""the university of kingston"", ""uni of kingston"", ""the uni of kingston""]"
L27,"[""university of leeds beckett"", ""the university of leeds beckett"", ""uni of leeds beckett"", ""the uni of leeds beckett""]"
L24,"[""university of leeds trinity"", ""the university of leeds trinity"", ""uni of leeds trinity"", ""the uni of leeds trinity"", ""leeds trinity & all saints"", ""leeds trinity and all saints""]"
L46,"[""university of liverpool hope"", ""uni of liverpool hope"", ""the university of liverpool hope"", ""the uni of liverpool hope""]"
L51,"[""university of liverpool john moores"", ""uni of liverpool john moores"", ""the university of liverpool john moores"", ""the uni of liverpool john moores"", ""university of john moores"", ""the university of john moores"", ""the uni of john moores"", ""uni of john moores""]"
L68,"[""london met uni"", ""london met university"", ""london met""]"
L75,"[""south bank university"", ""the london southbank university""]"
L79,"[""university"", ""uni of loughborough"", ""university of loughborough"", ""the university of loughborough"", ""loughborough college of art and design""]"
M80,"[""university of middlesex"", ""uni of middlesex"", ""university of middlesex"", ""the university of middlesex""]"
C85,"[""The NITE"", ""the national institute of teaching and education""]"
N36,"[""newman university, birmingham"", ""newman university college""]"
N91,"[""university of nottingham trent"", ""uni of nottingham trent""]"
O66,"[""university of oxford brookes"", ""uni of oxford brookes""]"
O33,"[""university of oxford"", ""uni of oxford"", ""the university of oxford"", ""the chancellor, masters and scholars of the university of oxford""]"
P63,"[""university of plymouth marjon"", ""University of St Mark and St John"", ""University of St. Mark and St. John"", ""University of Saint Mark and Saint John""]"
R48,"[""university of roehampton"", ""uni of roehampton""]"
R55,"[""academy of dance""]"
S21,"[""university of sheffield hallam"", ""the university of sheffield hallam"", ""the uni of sheffield hallam""]"
S64,"[""saint marys university"", ""university of saint marys""]"
S72,"[""university of staffordshire"", ""the university of staffrodshire""]"
3S1,"[""the university of teesside"", ""the uni of teesside"", ""university of teesside""]"
M40,"[""university of manchester metropolitan"", ""uni of manchester metropolitian""]"
G50,"[""gloucestershire university"", ""gloucestershire university""]"
H72,"[""hull university""]"
M20,"[""manchester university""]"
N84,"[""nottingham university"", ""nottingham universiy""]"
R12,"[""reading university"", ""henley business school""]"
S18,"[""sheffield university""]"
W20,"[""warwick university""]"
Y50,"[""york university""]"
U80,"[""UCL"", ""ucl university of london"", ""institute of education"", ""school of pharmacy""]"
KG8,"[""oldham university""]"
B22,"[""bedfordshire university"", ""bedford university"", ""the university of bedfordshire""]"
B32,"[""birmingham university"", ""the University of Birmingham""]"
8N5,"[""bolton university"", ""the University of Bolton""]"
B72,"[""brighton university"", ""the University of Brighton""]"
B78,"[""bristol university"", ""the University of Bristol""]"
C05,"[""cambridge university"", ""the University of Cambridge"", ""the chancellor, masters and scholars of the university of cambridge""]"
C55,"[""chester university"", ""the University of Chester""]"
C58,"[""chichester university"", ""the University of Chichester""]"
C99,"[""cumbria university"", ""the University of Cumbria""]"
D39,"[""derby university"", ""the University of Derby""]"
E14,"[""east anglia university"", ""the University of East Anglia""]"
E28,"[""east london university"", ""the University of East London""]"
E84,"[""exeter university"", ""the University of Exeter""]"
G70,"[""greenwich university"", ""the University of Greenwich""]"
H36,"[""hertfordshire university"", ""the University of Hertfordshire""]"
H60,"[""huddersfield university"", ""the University of Huddersfield""]"
L34,"[""leicester university"", ""the University of Leicester""]"
N21,"[""newcastle university"", ""the University of Newcastle Upon Tyne"", ""newcastle upon tyne university""]"
N38,"[""northampton university"", ""the University of Northampton""]"
N77,"[""northumbria university"", ""the University of Northumbria at Newcastle""]"
P60,"[""plymouth university"", ""the University of Plymouth""]"
P80,"[""portsmouth university"", ""the University of Portsmouth""]"
S27,"[""southampton university"", ""the University of Southampton""]"
S84,"[""sunderland university"", ""the University of Sunderland""]"
S90,"[""sussex university"", ""the University of Sussex""]"
W76,"[""winchester university"", ""the University of Winchester""]"
W75,"[""wolverhampton university"", ""the University of Wolverhampton""]"
W80,"[""worcester university"", ""the University of Worcester""]"
B80,"[""west england university"", ""the University of the West of England, Bristol"", ""uwe bristol""]"
Y75,"[""university of york st john"", ""the York St John University"", ""york saint john university"", ""york st. john university""]"
T92,"[""two schools consortium""]"
B28,"[""Billericay Educational Consortium""]"
C79,"[""cornwall SCITT""]"
3C6,"[""east anglian schools trust scitt"", ""east anglian schools trust school centered initial teacher training""]"
1S2,"[""kingsbridge education improvement partnership scittt"", ""kingsbridge education improvement partnership school centered initial teacher training""]"
M82,"[""mid essex itt""]"
251,"[""north east london teaching alliance""]"
N55,"[""north east partnership school centered initial teacher training""]"
24U,"[""NWSCITT""]"
254,"[""NTS""]"
P85,"[""PCP SCITT""]"
S31,"[""somerset consortium""]"
1WJ,"[""saint josephs college scitt""]"
G15,"[""saint georges academy partnership""]"
K13,"[""The Kemnal Academies Trust""]"
L59,"[""teaching london ldbs school centered initial teacher training""]"
T26,"[""thamesmead school centered initial teacher training""]"
B17,"[""the basingstoke alliance school centered initial teacher training""]"
2A7,"[""the coventry school centered initial teacher training""]"
C36,"[""the deepings school centered initial teacher training""]"
1X9,"[""the hampshire school centered initial teacher training""]"
24V,"[""the john taylor school centered initial training""]"
24P,"[""ormiston and keele scitt""]"
T89,"[""2 mile ash itt partnership"", ""2 mile ash initial teacher traininng partnership""]"
24X,"[""i two i teaching partnership""]"
146,"[""a suffolk schools education trust"", ""suffolk schools education trust""]"
2CZ,"[""academy transformation trust""]"
1R3,"[""thomas estley learning alliance"", ""achieve with thomas estley learning alliance""]"
2KH,"[""all sts rc school"", ""all st rc school"", ""all saints roman catholic school"", ""all saint roman catholic school""]"
3G1,"[""bradford diocesan academies trust""]"
1KN,"[""brighton hove and sussex school alliance"", ""brighton hove & sussex school alliance""]"
1MJ,"[""barrow church of england voluntary controlled primary school""]"
1JH,"[""benfleet team supporting all""]"
19F,"[""bransgore itt""]"
17B,"[""communities academies trust""]"
25R,"[""centre for research in early childhood"", ""st thomas childrens centre""]"
1N4,"[""catholic teaching school alliance""]"
1P5,"[""school centered initial teacher training in east london schools""]"
2J7,"[""consortium MAT""]"
1ZX,"[""dicoses of leeds bishop konstant catholic academy trust alliance""]"
2JA,"[""saint bartholomews mat"", ""saint bartholomews multi academy trust""]"
2L8,"[""40 hill"", ""forthy hill church of england primary school"", ""40 hill church of england""]"
3F1,"[""forward 1st sd"", ""forward first sd""]"
1AS,"[""gosport and farham mat""]"
16P,"[""hampshire school centered initial teacher training""]"
178,"[""havering train to teach""]"
292,"[""holy trinity church of england""]"
2GJ,"[""jfk special school""]"
21J,"[""kernow itt""]"
4E1,"[""king edward sixth camp hill school for girls""]"
29C,"[""kent special educational needs trust"", ""kent sent""]"
277,"[""lead empower achieve drive academy trust""]"
2JR,"[""leading education and achievement for all"", ""leaf training partner""]"
237,"[""learn academies trust school direct"", ""learn at sd""]"
1A4,"[""life multi academies trust""]"
2HR,"[""littleton church of england""]"
168,"[""merseyside alliance itt""]"
2CS,"[""north east lincolnshire initial teacher training partnership""]"
2J5,"[""north straffordshire sd""]"
1NB,"[""north tyneside school centered initial teacher training"", ""new york primary school direct"", ""new york primary sd"", ""ny primary sd""]"
1YD,"[""nottingham catholic itt partnership""]"
14W,"[""oadby launde academy sd""]"
2LR,"[""oriel initial teacher training partnership""]"
2K3,"[""Farnborough Road Infant School"", ""ormsirk west lancashire liverpool and sefton"", ""ormsirk, west lancashire, liverpool and sefton""]"
1O1,"[""partnership, achievement, community and excellence"", ""partnership achievement community excellence""]"
2DC,"[""perins innovate"", ""perins innov eight""]"
1AN,"[""queen elizabeth school wimborne""]"
2BS,"[""school direct at turton""]"
295,"[""st georges cofe school"", ""st georges church of england school""]"
15O,"[""st john southworth enterprise and research alliance""]"
2X8,"[""saltaire primary sd""]"
ST8,"[""scarborough teaching alliance""]"
2R7,"[""sd at the great schools trust""]"
1EV,"[""shiremoor primary school partnership sd""]"
19S,"[""south bromsgrove ttp""]"
2KS,"[""south cumbria sd""]"
1AV,"[""southend itt""]"
1RL,"[""sparkenhoe sd""]"
2C7,"[""saint andrews alliance""]"
1VA,"[""saint andrews ce primary school""]"
1XC,"[""saint angelas teacher training centre""]"
1BM,"[""saint anthonys girls catholic academy""]"
1Y9,"[""saint anthonys primary learning partnership""]"
1QB,"[""saint bedes catholic comprehensive school and sixth form college lanchester""]"
29P,"[""saint bernards school direct training""]"
3D3,"[""saint clements danes school""]"
1EN,"[""saint edmunds nursery school and childrens centre""]"
1G1,"[""saint edwards college teaching partnership""]"
1LU,"[""saint francis school""]"
2JV,"[""saint francis of assisi catholic primary school""]"
1NK,"[""saint george roman catholic school"", ""saint george rc school""]"
24D,"[""saint georges academy""]"
2KF,"[""saint helens one grange valley primary"", ""st helens 1 grange valley primary"", ""saint helens 1 grange valley primary""]"
2BL,"[""saint ives primary school""]"
1FU,"[""saint john bosco""]"
1S9,"[""saint john bosco inital teacher training"", ""saint john bosco itt""]"
1GQ,"[""st john vianney roman catholic primary school"", ""saint john vianney rc primary school""]"
225,"[""saint johns coe first school wimborne"", ""saint johns church of england first school wimborne""]"
1W4,"[""saint johns school and sixth form college""]"
1OR,"[""saint johns training school""]"
1O2,"[""saint josephs college scitt sd"", ""saint josephs college school centred initial teacher training"", ""st josephs college school centered initial teacher training school direct"", ""saints marys bryanston square""]"
2KN,"[""saint marys catholic school""]"
1RU,"[""saint marys college""]"
1ET,"[""saint marylebone collaborative""]"
2DL,"[""saint ninian catholic federation""]"
18A,"[""saint patricks greater manchester alliance""]"
242,"[""saint pauls caritas christi""]"
1V1,"[""saint peters london docks cofe primary school""]"
17Y,"[""saint peters solihull teaching school alliance"", ""st peters solihull tsa"", ""saint peters solihull tsa""]"
2EM,"[""saint peters teaching school""]"
2EG,"[""saint polycarps educational partnership""]"
1OO,"[""saint thomas more catholic school""]"
2DD,"[""saint andrews teaching alliance""]"
1EG,"[""saint edwards teaching training partnership""]"
18J,"[""saint james sd partnership"", ""saint james school direct partnership"", ""stamford initial teacher education cluster""]"
132,"[""stepney all st partnership""]"
1FA,"[""stour vale sd""]"
26E,"[""Teaching Alliance of Dorset Special Schools""]"
2H4,"[""the challenge academy trust""]"
3T2,"[""together everyone achieves more""]"
2G5,"[""the kemnal academies trust""]"
1W6,"[""the bridge london teaching school alliance""]"
2D3,"[""the diocese of hereford mat""]"
4T7,"[""the orminston and keele norfolk""]"
4T6,"[""the orminston and keele suffolk""]"
2DS,"[""the rodillian mat""]"
1DX,"[""thinking horizon thinking schools academy trust""]"
1XO,"[""transforming lives educational trust itt""]"
T87,"[""tudor grange itt""]"
26Q,"[""2 counties""]"
1WY,"[""2 mile ash school""]"
2C3,"[""tykes teaching school alliance""]"
2A4,"[""wigan catholic primary school direct""]"
15Q,"[""we inspire success and excellence initial teacher training school direct""]"
15D,"[""west essex school centered initial teacher training""]"
1V7,"[""yorkshire and humber sd""]"
2A1,"[""everyone learning at hawthorn""]"
